_id,Date,Year,Month Number,Month,Month & Year,Mon & Year
110,20-Apr-89,1989,4,April,Apr-89,Apr-89
111,21-Apr-89,1989,4,April,Apr-89,Apr-89
112,22-Apr-89,1989,4,April,Apr-89,Apr-89
113,23-Apr-89,1989,4,April,Apr-89,Apr-89
114,24-Apr-89,1989,4,April,Apr-89,Apr-89
115,25-Apr-89,1989,4,April,Apr-89,Apr-89
116,26-Apr-89,1989,4,April,Apr-89,Apr-89
117,27-Apr-89,1989,4,April,Apr-89,Apr-89
118,28-Apr-89,1989,4,April,Apr-89,Apr-89
119,29-Apr-89,1989,4,April,Apr-89,Apr-89
120,30-Apr-89,1989,4,April,Apr-89,Apr-89
121,1-May-89,1989,5,May,May-89,May-89
122,2-May-89,1989,5,May,May-89,May-89
123,3-May-89,1989,5,May,May-89,May-89
124,4-May-89,1989,5,May,May-89,May-89
125,5-May-89,1989,5,May,May-89,May-89
126,6-May-89,1989,5,May,May-89,May-89
127,7-May-89,1989,5,May,May-89,May-89
128,8-May-89,1989,5,May,May-89,May-89
129,9-May-89,1989,5,May,May-89,May-89
130,10-May-89,1989,5,May,May-89,May-89
131,11-May-89,1989,5,May,May-89,May-89
132,12-May-89,1989,5,May,May-89,May-89
133,13-May-89,1989,5,May,May-89,May-89
134,14-May-89,1989,5,May,May-89,May-89
135,15-May-89,1989,5,May,May-89,May-89
136,16-May-89,1989,5,May,May-89,May-89
137,17-May-89,1989,5,May,May-89,May-89
138,18-May-89,1989,5,May,May-89,May-89
139,19-May-89,1989,5,May,May-89,May-89
140,20-May-89,1989,5,May,May-89,May-89
141,21-May-89,1989,5,May,May-89,May-89
142,22-May-89,1989,5,May,May-89,May-89
143,23-May-89,1989,5,May,May-89,May-89
144,24-May-89,1989,5,May,May-89,May-89
145,25-May-89,1989,5,May,May-89,May-89
146,26-May-89,1989,5,May,May-89,May-89
147,27-May-89,1989,5,May,May-89,May-89
148,28-May-89,1989,5,May,May-89,May-89
149,29-May-89,1989,5,May,May-89,May-89
150,30-May-89,1989,5,May,May-89,May-89
151,31-May-89,1989,5,May,May-89,May-89
152,1-Jun-89,1989,6,June,Jun-89,Jun-89
153,2-Jun-89,1989,6,June,Jun-89,Jun-89
154,3-Jun-89,1989,6,June,Jun-89,Jun-89
155,4-Jun-89,1989,6,June,Jun-89,Jun-89
156,5-Jun-89,1989,6,June,Jun-89,Jun-89
157,6-Jun-89,1989,6,June,Jun-89,Jun-89
158,7-Jun-89,1989,6,June,Jun-89,Jun-89
159,8-Jun-89,1989,6,June,Jun-89,Jun-89
160,9-Jun-89,1989,6,June,Jun-89,Jun-89
161,10-Jun-89,1989,6,June,Jun-89,Jun-89
162,11-Jun-89,1989,6,June,Jun-89,Jun-89
163,12-Jun-89,1989,6,June,Jun-89,Jun-89
164,13-Jun-89,1989,6,June,Jun-89,Jun-89
165,14-Jun-89,1989,6,June,Jun-89,Jun-89
166,15-Jun-89,1989,6,June,Jun-89,Jun-89
167,16-Jun-89,1989,6,June,Jun-89,Jun-89
168,17-Jun-89,1989,6,June,Jun-89,Jun-89
169,18-Jun-89,1989,6,June,Jun-89,Jun-89
170,19-Jun-89,1989,6,June,Jun-89,Jun-89
171,20-Jun-89,1989,6,June,Jun-89,Jun-89
172,21-Jun-89,1989,6,June,Jun-89,Jun-89
173,22-Jun-89,1989,6,June,Jun-89,Jun-89
174,23-Jun-89,1989,6,June,Jun-89,Jun-89
175,24-Jun-89,1989,6,June,Jun-89,Jun-89
176,25-Jun-89,1989,6,June,Jun-89,Jun-89
177,26-Jun-89,1989,6,June,Jun-89,Jun-89
178,27-Jun-89,1989,6,June,Jun-89,Jun-89
179,28-Jun-89,1989,6,June,Jun-89,Jun-89
180,29-Jun-89,1989,6,June,Jun-89,Jun-89
181,30-Jun-89,1989,6,June,Jun-89,Jun-89
182,1-Jul-89,1989,7,July,Jul-89,Jul-89
183,2-Jul-89,1989,7,July,Jul-89,Jul-89
184,3-Jul-89,1989,7,July,Jul-89,Jul-89
185,4-Jul-89,1989,7,July,Jul-89,Jul-89
186,5-Jul-89,1989,7,July,Jul-89,Jul-89
187,6-Jul-89,1989,7,July,Jul-89,Jul-89
188,7-Jul-89,1989,7,July,Jul-89,Jul-89
189,8-Jul-89,1989,7,July,Jul-89,Jul-89
190,9-Jul-89,1989,7,July,Jul-89,Jul-89
191,10-Jul-89,1989,7,July,Jul-89,Jul-89
192,11-Jul-89,1989,7,July,Jul-89,Jul-89
193,12-Jul-89,1989,7,July,Jul-89,Jul-89
194,13-Jul-89,1989,7,July,Jul-89,Jul-89
195,14-Jul-89,1989,7,July,Jul-89,Jul-89
196,15-Jul-89,1989,7,July,Jul-89,Jul-89
197,16-Jul-89,1989,7,July,Jul-89,Jul-89
198,17-Jul-89,1989,7,July,Jul-89,Jul-89
199,18-Jul-89,1989,7,July,Jul-89,Jul-89
200,19-Jul-89,1989,7,July,Jul-89,Jul-89
201,20-Jul-89,1989,7,July,Jul-89,Jul-89
202,21-Jul-89,1989,7,July,Jul-89,Jul-89
203,22-Jul-89,1989,7,July,Jul-89,Jul-89
204,23-Jul-89,1989,7,July,Jul-89,Jul-89
205,24-Jul-89,1989,7,July,Jul-89,Jul-89
206,25-Jul-89,1989,7,July,Jul-89,Jul-89
207,26-Jul-89,1989,7,July,Jul-89,Jul-89
208,27-Jul-89,1989,7,July,Jul-89,Jul-89
209,28-Jul-89,1989,7,July,Jul-89,Jul-89
210,29-Jul-89,1989,7,July,Jul-89,Jul-89
211,30-Jul-89,1989,7,July,Jul-89,Jul-89
212,31-Jul-89,1989,7,July,Jul-89,Jul-89
213,1-Aug-89,1989,8,August,Aug-89,Aug-89
214,2-Aug-89,1989,8,August,Aug-89,Aug-89
215,3-Aug-89,1989,8,August,Aug-89,Aug-89
216,4-Aug-89,1989,8,August,Aug-89,Aug-89
217,5-Aug-89,1989,8,August,Aug-89,Aug-89
218,6-Aug-89,1989,8,August,Aug-89,Aug-89
219,7-Aug-89,1989,8,August,Aug-89,Aug-89
220,8-Aug-89,1989,8,August,Aug-89,Aug-89
221,9-Aug-89,1989,8,August,Aug-89,Aug-89
222,10-Aug-89,1989,8,August,Aug-89,Aug-89
223,11-Aug-89,1989,8,August,Aug-89,Aug-89
224,12-Aug-89,1989,8,August,Aug-89,Aug-89
225,13-Aug-89,1989,8,August,Aug-89,Aug-89
226,14-Aug-89,1989,8,August,Aug-89,Aug-89
227,15-Aug-89,1989,8,August,Aug-89,Aug-89
228,16-Aug-89,1989,8,August,Aug-89,Aug-89
229,17-Aug-89,1989,8,August,Aug-89,Aug-89
230,18-Aug-89,1989,8,August,Aug-89,Aug-89
231,19-Aug-89,1989,8,August,Aug-89,Aug-89
232,20-Aug-89,1989,8,August,Aug-89,Aug-89
233,21-Aug-89,1989,8,August,Aug-89,Aug-89
234,22-Aug-89,1989,8,August,Aug-89,Aug-89
235,23-Aug-89,1989,8,August,Aug-89,Aug-89
236,24-Aug-89,1989,8,August,Aug-89,Aug-89
237,25-Aug-89,1989,8,August,Aug-89,Aug-89
238,26-Aug-89,1989,8,August,Aug-89,Aug-89
239,27-Aug-89,1989,8,August,Aug-89,Aug-89
240,28-Aug-89,1989,8,August,Aug-89,Aug-89
241,29-Aug-89,1989,8,August,Aug-89,Aug-89
242,30-Aug-89,1989,8,August,Aug-89,Aug-89
